id,tabID,geoID,ahID,commodityID,year,planted,harvested,production,yield,headcount
1,5,1,173,205,1995,2144700,,,,
2,5,1,173,256,1995,3357744,,,,
3,12,1,173,72,1990,3649038,,,,
4,12,1,173,72,2000,8672122,,,,
5,12,1,173,72,2005,9156145,,,,
6,12,1,173,72,2010,4927767,,,,
7,12,1,173,72,2015,7911134,,,,
8,4,1,173,21,1961,,3144894,1414212,284480,
9,4,1,173,84,1961,,254782,7627555,124193,
10,4,1,173,91,1961,,1797561,494216,470369,
11,4,1,173,45,1961,,934974,6554961,112517,
12,4,1,173,46,1961,,2727496,8176365,380664,
13,4,1,173,118,1961,,1725343,4029381,31097,
14,4,1,173,66,1961,,488942,4387773,54945,
15,4,1,173,101,1961,,1993923,4393591,21076,
16,4,1,173,109,1961,,1017614,6000304,512244,
17,4,1,173,150,1961,,406797,6847587,158151,
18,4,1,173,155,1961,,348892,5883765,108304,
19,4,1,173,171,1961,,2955431,3273242,250055,
20,4,1,173,175,1961,,2872321,1131764,437575,
21,4,1,173,182,1961,,992865,4684839,379528,
22,4,1,173,193,1961,,2547670,5862769,563398,
23,4,1,173,203,1961,,1819629,8301479,147553,
24,4,1,173,207,1961,,2202033,8891444,355369,
25,4,1,173,209,1961,,3304650,4546475,147340,
26,4,1,173,220,1961,,2346593,9798495,498279,
27,4,1,173,227,1961,,1636058,8066106,198123,
28,4,1,173,233,1961,,604804,9608805,507512,
29,4,1,173,235,1961,,847997,7903522,599435,
30,4,1,173,244,1961,,2633798,6217457,392498,
31,4,1,173,255,1961,,570166,629647,336062,
32,4,1,173,264,1961,,2779050,4081132,590465,
33,4,1,173,268,1961,,610932,7404601,73897,
34,4,1,173,269,1961,,1244621,9869206,606480,
35,4,1,173,21,1962,,3157341,814566,565074,
36,4,1,173,84,1962,,2665293,3359171,295664,
37,4,1,173,91,1962,,3220706,1025072,483356,
38,4,1,173,45,1962,,2631385,2784364,557239,
39,4,1,173,46,1962,,566406,3937139,519898,
40,4,1,173,118,1962,,585945,1658179,444646,
41,4,1,173,66,1962,,2224918,2292345,85006,
42,4,1,173,101,1962,,2467979,5537067,497106,
43,4,1,173,109,1962,,2166687,3697759,600329,
44,4,1,173,150,1962,,2865306,1342565,407054,
45,4,1,173,155,1962,,3397198,8354144,187855,
46,4,1,173,171,1962,,3394297,3320372,5448,
47,4,1,173,175,1962,,2796035,7784260,65983,
48,4,1,173,182,1962,,1065940,4493291,467023,
49,4,1,173,193,1962,,3315017,5882724,155491,
50,4,1,173,203,1962,,2560632,7920361,477172,
51,4,1,173,207,1962,,3337119,5020343,133661,
52,4,1,173,209,1962,,1284824,10338768,537205,
53,4,1,173,220,1962,,1743620,5961154,592072,
54,4,1,173,227,1962,,1621579,4729787,454429,
55,4,1,173,233,1962,,3400370,2108700,368007,
56,4,1,173,235,1962,,3430057,4203223,535532,
57,4,1,173,244,1962,,1705826,8169236,521392,
58,4,1,173,255,1962,,1080368,4478591,496735,
59,4,1,173,264,1962,,149597,7498369,391977,
60,4,1,173,268,1962,,2339066,4174256,370193,
61,4,1,173,269,1962,,2993220,1995354,459884,
62,4,1,173,21,1963,,2893182,7244356,257007,
63,4,1,173,84,1963,,2816149,491926,566086,
64,4,1,173,91,1963,,3097218,2642696,116220,
65,4,1,173,45,1963,,1663702,7549048,184983,
66,4,1,173,46,1963,,171922,4869309,223808,
67,4,1,173,118,1963,,52492,1546597,484445,
68,4,1,173,66,1963,,1277190,3685014,169347,
69,4,1,173,101,1963,,772269,2001102,237096,
70,4,1,173,109,1963,,3302206,482509,322027,
71,4,1,173,150,1963,,102173,7475731,155175,
72,4,1,173,155,1963,,2262168,4900183,569458,
73,4,1,173,171,1963,,661908,515855,200876,
